,Ibase
0,플라보놀
1,비타민E
2,비타민C
3,Nodakenin
4,지아잔틴
5,비타민 B2
6,로사빈
7,Rosavin
8,히알루론산
9,루테인
10,나이아신
11,엽산
12,칼슘
13,철
14,안트라퀴논계화합물
15,프락토올리고당
16,셀렌
17,마그네슘
18,베타카로틴
19,all-trans-라이코펜
20,자일로올리고당
21,비타민 B6
22,비타민B2
23,Lauric acid
24,엽록소
25,코엔자임Q10
26,비타민B1
27,프로바이오틱스 수
28,구리
29,아연 
30,비타민A
31,L-테아닌
32,플라보놀배당체
33,비타민B12
34,셀레늄
35,Glabridin
36,실리마린
37,피브린용해효소활성
38,망간
39,(all-trans)-lycopene
40,EPA와 DHA의 합
41,lycopene
42,비타민B6
43,붕해
44,옥타코사놀
45,아연
46,플라보놀 배당체
47,총엽록소
48,아연 함량
49,공액리놀레산
50,판토텐산
51,판토텐산 
52,Paeoniflorin
53,비오틴
54,비타민 B1
55,Chlorogenic acid
56,진세노사이드
57,로르산
58,비타민K
59,카테킨
60,아스타잔틴
61,비타민D
62,유산균 수
